都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
202142,1200190001,長野県,茅野市,上原公園,ウエハラコウエン,,1003a,長野県茅野市ちの９２０番地,,36.001032,138.145249,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190002,長野県,茅野市,粟沢公園,アワザワコウエン,,1003a,長野県茅野市玉川９２７番地４３,,35.998355,138.174534,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190003,長野県,茅野市,中島公園,ナカジマコウエン,,1003a,長野県茅野市宮川５６５０番地,,35.984756,138.159857,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190004,長野県,茅野市,下町公園,シタマチコウエン,,1003a,長野県茅野市ちの３２０番地４,,36.006479,138.138335,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190005,長野県,茅野市,葛井公園,クズイコウエン,,1003a,長野県茅野市ちの２６３番地１３,,36.002703,138.140877,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190006,長野県,茅野市,やすらぎ公園,ヤスラギコウエン,,1003a,長野県茅野市ちの２７3番地４,,35.99822,138.14062,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190007,長野県,茅野市,丁田公園,チョウダコウエン,,1003a,長野県茅野市ちの２７６８番地４,,35.997977,138.138726,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190008,長野県,茅野市,赤田公園,アカタコウエン,,1003a,長野県茅野市宮川１３８２番地４,,36.001735,138.136763,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190009,長野県,茅野市,中道通公園,ナカミチドオリコウエン,,1003a,長野県茅野市宮川４０８７番地,,35.989761,138.145078,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190010,長野県,茅野市,下河原公園,シモガワラコウエン,,1003a,長野県茅野市宮川３８５３番地,,35.992365,138.144139,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190011,長野県,茅野市,大学河原公園,ダイガクガワラコウエン,,1003a,長野県茅野市ちの２７１０番地１,,35.993572,138.14106,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190012,長野県,茅野市,中沖公園,ナカオキコウエン,,1003a,長野県茅野市中沖４番１号,,36.002907,138.131195,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190013,長野県,茅野市,横内南公園,ヨコウチミナミコウエン,,1003a,長野県茅野市ちの２９４８番地,,35.993442,138.147309,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190014,長野県,茅野市,横内北公園,ヨコウチキタコウエン,,1003a,長野県茅野市ちの２５７９番地,,35.997022,138.14467,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190015,長野県,茅野市,新井公園,アライコウエン,,1003a,長野県茅野市宮川１４４９番地,,35.997895,138.135438,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190016,長野県,茅野市,浦田公園,ウラタコウエン,,1003a,長野県茅野市宮川１５６３番地,,35.997335,138.132407,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190017,長野県,茅野市,ばんばの池公園,バンバノイケコウエン,,1003a,長野県茅野市宮川１１５３番地,,35.995694,138.13215,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190018,長野県,茅野市,木落し公園,キオトシコウエン,,1003a,長野県茅野市宮川４６２８番地,,35.989778,138.157207,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190019,長野県,茅野市,西茅野中央公園,ニシチノチュウオウコウエン,,1003a,長野県茅野市宮川６２０３番地13,,35.980732,138.154975,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190020,長野県,茅野市,川辺公園,カワベコウエン,,1003a,長野県茅野市宮川６２０９番地17,,35.982399,138.15725,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190021,長野県,茅野市,北久保公園,キタクボコウエン,,1003a,長野県茅野市玉川５８３９番地,,35.982655,138.186126,0266-72-2101,,4.00E+12,茅野市,,,,,,,,
202142,1200190022,長野県,茅野市,大日影公園,オオヒカゲコウエン,,1003a,長野県茅野市泉野１０９番地７,,36.005789,138.214418,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190023,長野県,茅野市,風除け公園,カザヨケコウエン,,1003a,長野県茅野市湖東９５９０番地,,36.023492,138.223709,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190024,長野県,茅野市,茅野駅前縄文公園,チノエキマエジョウモンコウエン,,1003a,長野県茅野市ちの７０６５番地,,35.992917,138.153114,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190025,長野県,茅野市,川越し公園,カワゴシコウエン,,1003a,長野県茅野市宮川３９０３番地,,35.989757,138.14238,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190026,長野県,茅野市,平公園,タイラコウエン,,1003a,長野県茅野市宮川１９８３番地,,35.992088,138.139504,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190027,長野県,茅野市,ひめみや池公園,ヒメミヤイケコウエン,,1003a,長野県茅野市宮川１１３７番地,,35.99572,138.134494,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190028,長野県,茅野市,火燈公園,ヒトボシコウエン,,1003a,長野県茅野市宮川６２０８番地5,,35.979968,138.15747,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190029,長野県,茅野市,やしろ夢ひろば,ヤシロユメヒロバ,,1003a,長野県茅野市宮川４４５６番地３,,35.987343,138.154321,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190030,長野県,茅野市,前宮公園,マエミヤコウエン,,1003a,長野県茅野市宮川１０３７番地,,35.993233,138.130513,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190031,長野県,茅野市,花蒔公園,ハナマキコウエン,,1003a,長野県茅野市湖東６５９５番地２２９,,36.032208,138.216505,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190032,長野県,茅野市,金沢公園,カナザワコウエン,,1003a,長野県茅野市金沢１１０８番地２,,35.946201,138.185568,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190033,長野県,茅野市,弓振公園,ユミフリコウエン,,1003a,長野県茅野市宮川９２４５番地,,35.979534,138.187403,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190034,長野県,茅野市,横内中央公園,ヨコウチチュウオウコウエン,,1003a,長野県茅野市ちの２８０３番地,,35.994249,138.144042,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190035,長野県,茅野市,岳麓公園,ガクロクコウエン,,1003a,長野県茅野市湖東２５７１番地ロ,,36.019926,138.255563,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
202142,1200190036,長野県,茅野市,永明寺山公園,エイメイジヤマコウエン,,1003a,長野県茅野市ちの２３４５番地２,,36.009759,138.154707,0266-72-2101,,4.00E+12,茅野市,,,,水道施設は11月から4月まで冬季閉鎖,,,,
